Tahun,Upah,Upah Minimum Provinsi,Garis Kemiskinan,Pengeluaran,Label,Jenis,Provinsi,Daerah,Periode
2020,2515279.0592481215,22808.562806846556,397032.0,595634.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,September
2020,2515279.0592481215,22808.562806846556,398316.0,595634.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2020,2515279.0592481215,22808.562806846556,143425.0,704431.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,September
2020,2515279.0592481215,22808.562806846556,144182.0,704431.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,Maret
2020,2515279.0592481215,22808.562806846556,116270.00000000003,378673.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,September
2020,2515279.0592481215,22808.562806846556,116847.0,378673.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,Maret
2020,2515279.0592481215,22808.562806846556,125092.99999999997,484536.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2020,2515279.0592481215,22808.562806846556,125892.0,484536.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2020,2515279.0592481215,22808.562806846556,541451.0,1359653.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,September
2020,2515279.0592481215,22808.562806846556,543685.0,1359653.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,Maret
2020,2515279.0592481215,22808.562806846556,512886.0,945621.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,September
2020,2515279.0592481215,22808.562806846556,514663.0,945621.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,Maret
2020,2515279.0592481215,22808.562806846556,522125.0,1080171.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2020,2515279.0592481215,22808.562806846556,524208.0,1080171.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2021,2368760.8813664396,22808.562806846556,418047.0,734401.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,September
2021,2368760.8813664396,22808.562806846556,426126.0,734401.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,Maret
2021,2368760.8813664396,22808.562806846556,406917.0,597940.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,September
2021,2368760.8813664396,22808.562806846556,414738.0,597940.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,Maret
2021,2368760.8813664396,22808.562806846556,410420.0,643591.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,September
2021,2368760.8813664396,22808.562806846556,418296.0,643591.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2021,2368760.8813664396,22808.562806846556,147729.0,724090.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,September
2021,2368760.8813664396,22808.562806846556,151144.0,724090.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,Maret
2021,2368760.8813664396,22808.562806846556,122118.0,378673.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,September
2021,2368760.8813664396,22808.562806846556,126262.00000000003,378673.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,Maret
2021,2368760.8813664396,22808.562806846556,130689.0,494227.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2021,2368760.8813664396,22808.562806846556,134643.0,494227.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2021,2368760.8813664396,22808.562806846556,565776.0,1458492.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,September
2021,2368760.8813664396,22808.562806846556,577270.0,1458492.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,Maret
2021,2368760.8813664396,22808.562806846556,529035.0,976613.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,September
2021,2368760.8813664396,22808.562806846556,541000.0,976613.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,Maret
2021,2368760.8813664396,22808.562806846556,541109.0,1137819.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2021,2368760.8813664396,22808.562806846556,552939.0,1137819.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2022,2332200.3190889955,22818.920552362782,448528.0,736172.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,September
2022,2332200.3190889955,22818.920552362782,481276.0,736172.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,Maret
2022,2332200.3190889955,22818.920552362782,434104.0,633566.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,September
2022,2332200.3190889955,22818.920552362782,462138.0,633566.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,Maret
2022,2332200.3190889955,22818.920552362782,438658.0,668480.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,September
2022,2332200.3190889955,22818.920552362782,468255.0,668480.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2022,2332200.3190889955,22818.920552362782,157867.0,716409.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,September
2022,2332200.3190889955,22818.920552362782,164956.0,716409.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,Maret
2022,2332200.3190889955,22818.920552362782,131658.0,406040.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,September
2022,2332200.3190889955,22818.920552362782,140763.0,406040.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,Maret
2022,2332200.3190889955,22818.920552362782,140569.99999999997,511651.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2022,2332200.3190889955,22818.920552362782,149038.0,511651.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2022,2332200.3190889955,22818.920552362782,606394.0,1452581.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,September
2022,2332200.3190889955,22818.920552362782,646232.0,1452581.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,Maret
2022,2332200.3190889955,22818.920552362782,565762.0,1039606.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,September
2022,2332200.3190889955,22818.920552362782,602900.0,1039606.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,Maret
2022,2332200.3190889955,22818.920552362782,579228.0,1180132.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2022,2332200.3190889955,22818.920552362782,617293.0,1180132.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2015,1483167.487936577,11646.037134975777,261677.0,416073.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,September
2015,1483167.487936577,11646.037134975777,273271.0,416073.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,Maret
2015,1483167.487936577,11646.037134975777,266143.0,413087.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,September
2015,1483167.487936577,11646.037134975777,284650.0,413087.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,Maret
2015,1483167.487936577,11646.037134975777,263932.0,414566.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,September
2015,1483167.487936577,11646.037134975777,279015.0,414566.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2015,1483167.487936577,11646.037134975777,102643.0,453609.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan,September
2015,1483167.487936577,11646.037134975777,106627.00000000003,453609.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan,Maret
2015,1483167.487936577,11646.037134975777,65752.0,269407.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Perkotaan,September
2015,1483167.487936577,11646.037134975777,67987.0,269407.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Perkotaan,Maret
2015,1483167.487936577,11646.037134975777,84021.0,360624.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,September
2015,1483167.487936577,11646.037134975777,87123.0,360624.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2015,1483167.487936577,11646.037134975777,364320.0,869682.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan,September
2015,1483167.487936577,11646.037134975777,379898.0,869682.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan,Maret
2015,1483167.487936577,11646.037134975777,331895.0,682494.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Perkotaan,September
2015,1483167.487936577,11646.037134975777,352637.0,682494.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Perkotaan,Maret
2015,1483167.487936577,11646.037134975777,347953.0,775189.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan & Perkotaan,September
2015,1483167.487936577,11646.037134975777,366138.0,775189.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2016,1624994.8766958695,13000.553365448315,290096.0,493141.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,September
2016,1624994.8766958695,13000.553365448315,302027.0,493141.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,Maret
2016,1624994.8766958695,13000.553365448315,304942.0,450979.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,September
2016,1624994.8766958695,13000.553365448315,313234.0,450979.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,Maret
2016,1624994.8766958695,13000.553365448315,296832.0,472220.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,September
2016,1624994.8766958695,13000.553365448315,308037.0,472220.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2016,1624994.8766958695,13000.553365448315,108312.0,474404.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan,September
2016,1624994.8766958695,13000.553365448315,111808.0,474404.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan,Maret
2016,1624994.8766958695,13000.553365448315,72806.0,287254.99999999994,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Perkotaan,September
2016,1624994.8766958695,13000.553365448315,75473.0,287254.99999999994,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Perkotaan,Maret
2016,1624994.8766958695,13000.553365448315,91324.0,381537.00000000006,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,September
2016,1624994.8766958695,13000.553365448315,93795.0,381537.00000000006,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2016,1624994.8766958695,13000.553365448315,398408.0,967546.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan,September
2016,1624994.8766958695,13000.553365448315,413835.0,967546.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan,Maret
2016,1624994.8766958695,13000.553365448315,377748.0,738234.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Perkotaan,September
2016,1624994.8766958695,13000.553365448315,388707.0,738234.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Perkotaan,Maret
2016,1624994.8766958695,13000.553365448315,388156.0,853756.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan & Perkotaan,September
2016,1624994.8766958695,13000.553365448315,401832.0,853756.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2017,1866432.5521129533,14084.014136631213,311996.0,553690.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,September
2017,1866432.5521129533,14084.014136631213,321688.0,553690.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,Maret
2017,1866432.5521129533,14084.014136631213,316190.0,490603.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,September
2017,1866432.5521129533,14084.014136631213,322222.0,490603.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,Maret
2017,1866432.5521129533,14084.014136631213,314243.0,522766.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,September
2017,1866432.5521129533,14084.014136631213,321967.0,522766.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2017,1866432.5521129533,14084.014136631213,113696.0,491793.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan,September
2017,1866432.5521129533,14084.014136631213,117206.0,491793.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan,Maret
2017,1866432.5521129533,14084.014136631213,79842.0,278114.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Perkotaan,September
2017,1866432.5521129533,14084.014136631213,84935.0,278114.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Perkotaan,Maret
2017,1866432.5521129533,14084.014136631213,97101.99999999997,387051.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,September
2017,1866432.5521129533,14084.014136631213,101729.0,387051.0,Ekonomi Berkembang,Non-Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2017,1866432.5521129533,14084.014136631213,425693.0,1045483.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan,September
2017,1866432.5521129533,14084.014136631213,438894.0,1045483.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan,Maret
2017,1866432.5521129533,14084.014136631213,396033.0,768718.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Perkotaan,September
2017,1866432.5521129533,14084.014136631213,407157.0,768718.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Perkotaan,Maret
2017,1866432.5521129533,14084.014136631213,411345.0,909817.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan & Perkotaan,September
2017,1866432.5521129533,14084.014136631213,423696.0,909817.0,Ekonomi Berkembang,Gabungan (Total),SUMATERA UTARA,Pedesaan & Perkotaan,Maret
2018,1847255.5024655391,15322.268479013961,328225.0,586199.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,September
2018,1847255.5024655391,15322.268479013961,345167.0,586199.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan,Maret
2018,1847255.5024655391,15322.268479013961,333843.0,519512.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,September
2018,1847255.5024655391,15322.268479013961,342317.0,519512.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Perkotaan,Maret
2018,1847255.5024655391,15322.268479013961,331105.0,554754.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,September
2018,1847255.5024655391,15322.268479013961,343740.0,554754.0,Ekonomi Berkembang,Makanan,SUMATERA UTARA,Pedesaan & Perkotaan,Maret
